title,artist,genre,year,bpm,energy,danceability,duration_sec,acousticness,speechiness,popularity
Locked Out of Heaven,Bruno Mars,Pop,2012,144,70,73,233,5,4,79
Paradise,Coldplay,Other,2012,140,59,45,279,5,3,79
Payphone,Maroon 5,Pop,2012,110,75,74,231,2,4,79
What Makes You Beautiful,One Direction,Pop,2012,125,79,73,200,1,7,78
I Knew You Were Trouble.,Taylor Swift,Pop,2012,77,47,62,220,0,4,77
Call Me Maybe,Carly Rae Jepsen,Pop,2012,120,58,78,193,1,4,76
Love You Like A Love Song,Selena Gomez & The Scene,Dance pop,2012,117,68,86,188,8,5,76
Set Fire to the Rain,Adele,Hip-hop/R&B,2012,108,68,61,242,0,3,76
We Are Never Ever Getting Back Together,Taylor Swift,Pop,2012,86,68,63,193,1,9,75
Stronger (What Doesn't Kill You),Kelly Clarkson,Dance pop,2012,116,94,56,222,5,5,74
Try,P!nk,Dance pop,2012,104,63,67,248,0,3,74
Starships,Nicki Minaj,Dance pop,2012,125,72,75,211,14,8,73
One More Night,Maroon 5,Pop,2012,93,82,72,220,6,3,73
Good Time,Owl City,Pop,2012,126,87,56,206,2,14,73
Glad You Came,The Wanted,Pop,2012,127,85,72,198,3,6,72
Beauty And A Beat,Justin Bieber,Pop,2012,128,84,60,228,0,6,72
International Love,Pitbull,Dance pop,2012,120,86,67,227,1,5,72
Some Nights,fun.,Pop,2012,108,74,67,277,2,5,72
Boyfriend,Justin Bieber,Pop,2012,97,55,72,171,4,5,71
Part Of Me,Katy Perry,Dance pop,2012,130,92,68,216,0,4,71
Domino,Jessie J,Pop,2012,127,55,76,232,1,3,69
Where Have You Been,Rihanna,Pop,2012,128,85,72,243,0,9,68
Wide Awake,Katy Perry,Dance pop,2012,160,68,51,221,7,4,68
The One That Got Away,Katy Perry,Dance pop,2012,134,80,69,227,0,4,67
Dance Again,Jennifer Lopez,Dance pop,2012,128,86,79,237,2,7,66
Turn Up the Music,Chris Brown,Dance pop,2012,130,84,59,228,0,10,65
Lights - Single Version,Ellie Goulding,Dance pop,2012,120,80,68,211,3,4,65
We Are Young (feat. Janelle Monáe),fun.,Pop,2012,184,64,38,251,2,8,63
Diamonds,Rihanna,Pop,2012,92,71,56,225,0,5,61
Don't Stop the Party (feat. TJR),Pitbull,Dance pop,2012,127,96,72,206,1,9,59
You Da One,Rihanna,Pop,2012,127,72,70,200,50,4,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,Dance pop,2012,90,80,65,211,3,10,54
It Will Rain,Bruno Mars,Pop,2012,150,84,58,258,34,5,38
Blow Me (One Last Kiss),P!nk,Dance pop,2012,114,92,60,256,0,4,0
